[32m[I 2022-10-19 21:24:26,992][0m A new study created in memory with name: no-name-b979582a-6232-42e5-b71b-3a2464e7b091[0m

total_number_of_episodes = 20, number_of_timesteps=20000, per_episode_reward = -569.05, episode_reward_trend_value=0.0
total_number_of_episodes = 370, number_of_timesteps=370000, per_episode_reward = -450.92, episode_reward_trend_value=-0.011468091391273878
total_number_of_episodes = 380, number_of_timesteps=380000, per_episode_reward = -450.65, episode_reward_trend_value=-0.005283773087861871
total_number_of_episodes = 390, number_of_timesteps=390000, per_episode_reward = -450.32, episode_reward_trend_value=-0.021206927865192585
total_number_of_episodes = 400, number_of_timesteps=400000, per_episode_reward = -450.54, episode_reward_trend_value=-0.015894920258444422
total_number_of_episodes = 410, number_of_timesteps=410000, per_episode_reward = -451.06, episode_reward_trend_value=-0.02310256579516729
total_number_of_episodes = 420, number_of_timesteps=420000, per_episode_reward = -450.63, episode_reward_trend_value=-0.015756115706396182
total_number_of_episodes = 430, number_of_timesteps=430000, per_episode_reward = -450.60, episode_reward_trend_value=-0.01280303776836023
total_number_of_episodes = 440, number_of_timesteps=440000, per_episode_reward = -451.10, episode_reward_trend_value=-0.015023668906599775
total_number_of_episodes = 450, number_of_timesteps=450000, per_episode_reward = -451.28, episode_reward_trend_value=-0.011782978707951013
total_number_of_episodes = 460, number_of_timesteps=460000, per_episode_reward = -451.47, episode_reward_trend_value=-0.006120478380914089
total_number_of_episodes = 470, number_of_timesteps=470000, per_episode_reward = -451.15, episode_reward_trend_value=-0.005506596725321818
total_number_of_episodes = 480, number_of_timesteps=480000, per_episode_reward = -451.91, episode_reward_trend_value=-0.017670549249198884
total_number_of_episodes = 490, number_of_timesteps=490000, per_episode_reward = -451.49, episode_reward_trend_value=-0.010581817685059985
total_number_of_episodes = 500, number_of_timesteps=500000, per_episode_reward = -451.71, episode_reward_trend_value=-0.007146661114052853
total_number_of_episodes = 510, number_of_timesteps=510000, per_episode_reward = -451.98, episode_reward_trend_value=-0.014952207191596598
total_number_of_episodes = 520, number_of_timesteps=520000, per_episode_reward = -452.61, episode_reward_trend_value=-0.022314622894765535
total_number_of_episodes = 530, number_of_timesteps=530000, per_episode_reward = -452.77, episode_reward_trend_value=-0.018511893496398417
total_number_of_episodes = 540, number_of_timesteps=540000, per_episode_reward = -453.14, episode_reward_trend_value=-0.020660884324356883
total_number_of_episodes = 550, number_of_timesteps=550000, per_episode_reward = -453.19, episode_reward_trend_value=-0.01905817495192979
total_number_of_episodes = 560, number_of_timesteps=560000, per_episode_reward = -452.57, episode_reward_trend_value=-0.015817634670697266
total_number_of_episodes = 570, number_of_timesteps=570000, per_episode_reward = -452.79, episode_reward_trend_value=-0.009772170050577718
total_number_of_episodes = 580, number_of_timesteps=580000, per_episode_reward = -453.03, episode_reward_trend_value=-0.017036648852570124
total_number_of_episodes = 590, number_of_timesteps=590000, per_episode_reward = -452.50, episode_reward_trend_value=-0.008839938754129485
total_number_of_episodes = 600, number_of_timesteps=600000, per_episode_reward = -452.90, episode_reward_trend_value=-0.010211260452228999
total_number_of_episodes = 610, number_of_timesteps=610000, per_episode_reward = -453.38, episode_reward_trend_value=-0.008553264271040462
total_number_of_episodes = 620, number_of_timesteps=620000, per_episode_reward = -453.36, episode_reward_trend_value=-0.006521844998007964
total_number_of_episodes = 630, number_of_timesteps=630000, per_episode_reward = -453.70, episode_reward_trend_value=-0.0062751765450431984
total_number_of_episodes = 640, number_of_timesteps=640000, per_episode_reward = -453.87, episode_reward_trend_value=-0.0076275970354780995
total_number_of_episodes = 650, number_of_timesteps=650000, per_episode_reward = -454.16, episode_reward_trend_value=-0.01765188093485285
total_number_of_episodes = 660, number_of_timesteps=660000, per_episode_reward = -454.32, episode_reward_trend_value=-0.017008214406008117
total_number_of_episodes = 670, number_of_timesteps=670000, per_episode_reward = -453.74, episode_reward_trend_value=-0.007894588361625664
total_number_of_episodes = 680, number_of_timesteps=680000, per_episode_reward = -453.35, episode_reward_trend_value=-0.009429892783191462
total_number_of_episodes = 690, number_of_timesteps=690000, per_episode_reward = -453.19, episode_reward_trend_value=-0.003208145567443429
total_number_of_episodes = 700, number_of_timesteps=700000, per_episode_reward = -453.20, episode_reward_trend_value=0.0020090738150138855
total_number_of_episodes = 710, number_of_timesteps=710000, per_episode_reward = -453.65, episode_reward_trend_value=-0.0032434524382438214
total_number_of_episodes = 720, number_of_timesteps=720000, per_episode_reward = -453.70, episode_reward_trend_value=-1.0240612555713191e-05
total_number_of_episodes = 730, number_of_timesteps=730000, per_episode_reward = -453.69, episode_reward_trend_value=0.0020913067298282484
total_number_of_episodes = 740, number_of_timesteps=740000, per_episode_reward = -454.12, episode_reward_trend_value=0.0003913019617540512
total_number_of_episodes = 750, number_of_timesteps=750000, per_episode_reward = -454.16, episode_reward_trend_value=0.0017895280333119798
total_number_of_episodes = 760, number_of_timesteps=760000, per_episode_reward = -454.55, episode_reward_trend_value=-0.008961622193013833
total_number_of_episodes = 770, number_of_timesteps=770000, per_episode_reward = -454.92, episode_reward_trend_value=-0.01740769941515623
total_number_of_episodes = 780, number_of_timesteps=780000, per_episode_reward = -455.10, episode_reward_trend_value=-0.021307138215154155
total_number_of_episodes = 790, number_of_timesteps=790000, per_episode_reward = -455.11, episode_reward_trend_value=-0.021161878276759832
total_number_of_episodes = 800, number_of_timesteps=800000, per_episode_reward = -455.53, episode_reward_trend_value=-0.020900800119891805
total_number_of_episodes = 810, number_of_timesteps=810000, per_episode_reward = -455.14, episode_reward_trend_value=-0.01597274206162385
total_number_of_episodes = 820, number_of_timesteps=820000, per_episode_reward = -455.02, episode_reward_trend_value=-0.014874455243702617
total_number_of_episodes = 830, number_of_timesteps=830000, per_episode_reward = -455.30, episode_reward_trend_value=-0.013035604991694705
total_number_of_episodes = 840, number_of_timesteps=840000, per_episode_reward = -455.33, episode_reward_trend_value=-0.013013740331026234
total_number_of_episodes = 850, number_of_timesteps=850000, per_episode_reward = -455.54, episode_reward_trend_value=-0.011021080308958948
total_number_of_episodes = 860, number_of_timesteps=860000, per_episode_reward = -456.00, episode_reward_trend_value=-0.011987850701121436
total_number_of_episodes = 870, number_of_timesteps=870000, per_episode_reward = -455.06, episode_reward_trend_value=0.0004649946122716149
total_number_of_episodes = 880, number_of_timesteps=880000, per_episode_reward = -455.42, episode_reward_trend_value=-0.0035203557711939643
total_number_of_episodes = 890, number_of_timesteps=890000, per_episode_reward = -455.61, episode_reward_trend_value=-0.0009124749658869606
total_number_of_episodes = 900, number_of_timesteps=900000, per_episode_reward = -455.45, episode_reward_trend_value=-0.0034437810734510147
total_number_of_episodes = 910, number_of_timesteps=910000, per_episode_reward = -455.53, episode_reward_trend_value=-0.005631995151036841
total_number_of_episodes = 920, number_of_timesteps=920000, per_episode_reward = -455.16, episode_reward_trend_value=0.001522345023596472
total_number_of_episodes = 930, number_of_timesteps=930000, per_episode_reward = -454.63, episode_reward_trend_value=0.007829659096595758
total_number_of_episodes = 940, number_of_timesteps=940000, per_episode_reward = -454.64, episode_reward_trend_value=0.00999396065808848
total_number_of_episodes = 950, number_of_timesteps=950000, per_episode_reward = -454.32, episode_reward_trend_value=0.01862502260236296
total_number_of_episodes = 960, number_of_timesteps=960000, per_episode_reward = -454.37, episode_reward_trend_value=0.007688043239394598
total_number_of_episodes = 970, number_of_timesteps=970000, per_episode_reward = -454.30, episode_reward_trend_value=0.012438099307400485
total_number_of_episodes = 980, number_of_timesteps=980000, per_episode_reward = -454.27, episode_reward_trend_value=0.014868683260382593
total_number_of_episodes = 990, number_of_timesteps=990000, per_episode_reward = -454.16, episode_reward_trend_value=0.014331075797017926
total_number_of_episodes = 1000, number_of_timesteps=1000000, per_episode_reward = -454.41, episode_reward_trend_value=0.012464327927429825
total_number_of_episodes = 1010, number_of_timesteps=1010000, per_episode_reward = -455.08, episode_reward_trend_value=0.0009103842556650458
total_number_of_episodes = 1020, number_of_timesteps=1020000, per_episode_reward = -454.89, episode_reward_trend_value=-0.0028868564366834764
total_number_of_episodes = 1030, number_of_timesteps=1030000, per_episode_reward = -454.56, episode_reward_trend_value=0.0008368628593163722
total_number_of_episodes = 1040, number_of_timesteps=1040000, per_episode_reward = -454.11, episode_reward_trend_value=0.0023712381929707742
total_number_of_episodes = 1050, number_of_timesteps=1050000, per_episode_reward = -454.72, episode_reward_trend_value=-0.003906714685906662
total_number_of_episodes = 1060, number_of_timesteps=1060000, per_episode_reward = -454.57, episode_reward_trend_value=-0.0030158350959343097
total_number_of_episodes = 1070, number_of_timesteps=1070000, per_episode_reward = -455.04, episode_reward_trend_value=-0.008543933261542078
total_number_of_episodes = 1080, number_of_timesteps=1080000, per_episode_reward = -454.73, episode_reward_trend_value=-0.006357598664075997
total_number_of_episodes = 1090, number_of_timesteps=1090000, per_episode_reward = -454.58, episode_reward_trend_value=-0.0019068135049628329
total_number_of_episodes = 1100, number_of_timesteps=1100000, per_episode_reward = -454.47, episode_reward_trend_value=0.006794318256814019
total_number_of_episodes = 1110, number_of_timesteps=1110000, per_episode_reward = -454.36, episode_reward_trend_value=0.005889871127290133
total_number_of_episodes = 1120, number_of_timesteps=1120000, per_episode_reward = -454.81, episode_reward_trend_value=-0.0027024563513066368
total_number_of_episodes = 1130, number_of_timesteps=1130000, per_episode_reward = -455.30, episode_reward_trend_value=-0.013222727210958535
total_number_of_episodes = 1140, number_of_timesteps=1140000, per_episode_reward = -454.84, episode_reward_trend_value=-0.0013026196203403137
total_number_of_episodes = 1150, number_of_timesteps=1150000, per_episode_reward = -454.71, episode_reward_trend_value=-0.0014803507488282876
total_number_of_episodes = 1160, number_of_timesteps=1160000, per_episode_reward = -454.96, episode_reward_trend_value=0.0009054965963482826
total_number_of_episodes = 1170, number_of_timesteps=1170000, per_episode_reward = -454.93, episode_reward_trend_value=-0.002160303508326125
total_number_of_episodes = 1180, number_of_timesteps=1180000, per_episode_reward = -454.64, episode_reward_trend_value=-0.0006112498180685735
total_number_of_episodes = 1190, number_of_timesteps=1190000, per_episode_reward = -454.92, episode_reward_trend_value=-0.005055093885246404
total_number_of_episodes = 1200, number_of_timesteps=1200000, per_episode_reward = -455.10, episode_reward_trend_value=-0.00819804438155087
total_number_of_episodes = 1210, number_of_timesteps=1210000, per_episode_reward = -455.21, episode_reward_trend_value=-0.004461610553444314
total_number_of_episodes = 1220, number_of_timesteps=1220000, per_episode_reward = -455.17, episode_reward_trend_value=0.0013971810957469997
total_number_of_episodes = 1230, number_of_timesteps=1230000, per_episode_reward = -455.13, episode_reward_trend_value=-0.0032725233459763733
total_number_of_episodes = 1240, number_of_timesteps=1240000, per_episode_reward = -454.68, episode_reward_trend_value=0.0002663238793300277
total_number_of_episodes = 1250, number_of_timesteps=1250000, per_episode_reward = -454.54, episode_reward_trend_value=0.004662148212001208
total_number_of_episodes = 1260, number_of_timesteps=1260000, per_episode_reward = -454.99, episode_reward_trend_value=-0.0006541607435811632
total_number_of_episodes = 1270, number_of_timesteps=1270000, per_episode_reward = -454.79, episode_reward_trend_value=-0.0016673365538211883
total_number_of_episodes = 1280, number_of_timesteps=1280000, per_episode_reward = -454.50, episode_reward_trend_value=0.004711501850579225
total_number_of_episodes = 1290, number_of_timesteps=1290000, per_episode_reward = -454.36, episode_reward_trend_value=0.008162084027065298
total_number_of_episodes = 1300, number_of_timesteps=1300000, per_episode_reward = -454.32, episode_reward_trend_value=0.009890820895911803
total_number_of_episodes = 1310, number_of_timesteps=1310000, per_episode_reward = -454.56, episode_reward_trend_value=0.006753001641585064
total_number_of_episodes = 1320, number_of_timesteps=1320000, per_episode_reward = -454.31, episode_reward_trend_value=0.009163261365997263
total_number_of_episodes = 1330, number_of_timesteps=1330000, per_episode_reward = -454.43, episode_reward_trend_value=0.0027662954306278053
total_number_of_episodes = 1340, number_of_timesteps=1340000, per_episode_reward = -454.28, episode_reward_trend_value=0.0029318289715926467
total_number_of_episodes = 1350, number_of_timesteps=1350000, per_episode_reward = -454.02, episode_reward_trend_value=0.010770020341058423
total_number_of_episodes = 1360, number_of_timesteps=1360000, per_episode_reward = -453.79, episode_reward_trend_value=0.011105911658705735
total_number_of_episodes = 1370, number_of_timesteps=1370000, per_episode_reward = -453.81, episode_reward_trend_value=0.00758470123559947
total_number_of_episodes = 1380, number_of_timesteps=1380000, per_episode_reward = -453.79, episode_reward_trend_value=0.006302183818928597
total_number_of_episodes = 1390, number_of_timesteps=1390000, per_episode_reward = -453.88, episode_reward_trend_value=0.004874434983289828
total_number_of_episodes = 1400, number_of_timesteps=1400000, per_episode_reward = -453.80, episode_reward_trend_value=0.008532199148106025
total_number_of_episodes = 1410, number_of_timesteps=1410000, per_episode_reward = -453.65, episode_reward_trend_value=0.0073386323091546675
total_number_of_episodes = 1420, number_of_timesteps=1420000, per_episode_reward = -453.78, episode_reward_trend_value=0.007275715670147696
total_number_of_episodes = 1430, number_of_timesteps=1430000, per_episode_reward = -453.77, episode_reward_trend_value=0.005604187180711051
total_number_of_episodes = 1440, number_of_timesteps=1440000, per_episode_reward = -453.89, episode_reward_trend_value=0.001419333201994909
total_number_of_episodes = 1450, number_of_timesteps=1450000, per_episode_reward = -453.91, episode_reward_trend_value=-0.0013604011108245434
total_number_of_episodes = 1460, number_of_timesteps=1460000, per_episode_reward = -453.98, episode_reward_trend_value=-0.001881889084492943
total_number_of_episodes = 1470, number_of_timesteps=1470000, per_episode_reward = -453.88, episode_reward_trend_value=-0.0009242740129764115
total_number_of_episodes = 1480, number_of_timesteps=1480000, per_episode_reward = -453.99, episode_reward_trend_value=-0.0012390360019941858
total_number_of_episodes = 1490, number_of_timesteps=1490000, per_episode_reward = -453.89, episode_reward_trend_value=-0.0010635575570132813
total_number_of_episodes = 1500, number_of_timesteps=1500000, per_episode_reward = -453.95, episode_reward_trend_value=-0.0033846449280203056
total_number_of_episodes = 1510, number_of_timesteps=1510000, per_episode_reward = -453.84, episode_reward_trend_value=-0.0006706161696822872
total_number_of_episodes = 1520, number_of_timesteps=1520000, per_episode_reward = -454.03, episode_reward_trend_value=-0.0028553781879344974
total_number_of_episodes = 1530, number_of_timesteps=1530000, per_episode_reward = -454.02, episode_reward_trend_value=-0.0014289526118179512
total_number_of_episodes = 1540, number_of_timesteps=1540000, per_episode_reward = -454.52, episode_reward_trend_value=-0.006782884173595171
total_number_of_episodes = 1550, number_of_timesteps=1550000, per_episode_reward = -454.90, episode_reward_trend_value=-0.01014479430277283
total_number_of_episodes = 1560, number_of_timesteps=1560000, per_episode_reward = -454.92, episode_reward_trend_value=-0.011634688790506213
total_number_of_episodes = 1570, number_of_timesteps=1570000, per_episode_reward = -454.67, episode_reward_trend_value=-0.007552680745519386
total_number_of_episodes = 1580, number_of_timesteps=1580000, per_episode_reward = -454.97, episode_reward_trend_value=-0.012019067913718118
total_number_of_episodes = 1590, number_of_timesteps=1590000, per_episode_reward = -454.91, episode_reward_trend_value=-0.010607492829142808
total_number_of_episodes = 1600, number_of_timesteps=1600000, per_episode_reward = -454.95, episode_reward_trend_value=-0.012379498826728902
total_number_of_episodes = 1610, number_of_timesteps=1610000, per_episode_reward = -454.71, episode_reward_trend_value=-0.00750436609855064
total_number_of_episodes = 1620, number_of_timesteps=1620000, per_episode_reward = -454.79, episode_reward_trend_value=-0.008549086062446223
total_number_of_episodes = 1630, number_of_timesteps=1630000, per_episode_reward = -454.65, episode_reward_trend_value=-0.0014950478158046584
total_number_of_episodes = 1640, number_of_timesteps=1640000, per_episode_reward = -454.60, episode_reward_trend_value=0.0033424433801681314
total_number_of_episodes = 1650, number_of_timesteps=1650000, per_episode_reward = -454.48, episode_reward_trend_value=0.004893414934253491
total_number_of_episodes = 1660, number_of_timesteps=1660000, per_episode_reward = -454.44, episode_reward_trend_value=0.0025679274551060243
total_number_of_episodes = 1670, number_of_timesteps=1670000, per_episode_reward = -454.36, episode_reward_trend_value=0.006864050523317171
total_number_of_episodes = 1680, number_of_timesteps=1680000, per_episode_reward = -454.43, episode_reward_trend_value=0.005300345526728733
total_number_of_episodes = 1690, number_of_timesteps=1690000, per_episode_reward = -454.45, episode_reward_trend_value=0.005568417820534124
total_number_of_episodes = 1700, number_of_timesteps=1700000, per_episode_reward = -454.56, episode_reward_trend_value=0.0015946054254495975
total_number_of_episodes = 1710, number_of_timesteps=1710000, per_episode_reward = -454.66, episode_reward_trend_value=0.0014236206890302582
total_number_of_episodes = 1720, number_of_timesteps=1720000, per_episode_reward = -454.83, episode_reward_trend_value=-0.0019949621603574186
total_number_of_episodes = 1730, number_of_timesteps=1730000, per_episode_reward = -454.75, episode_reward_trend_value=-0.0017095133425755193
total_number_of_episodes = 1740, number_of_timesteps=1740000, per_episode_reward = -454.81, episode_reward_trend_value=-0.0036020711226879285
total_number_of_episodes = 1750, number_of_timesteps=1750000, per_episode_reward = -454.93, episode_reward_trend_value=-0.005422402742052807
total_number_of_episodes = 1760, number_of_timesteps=1760000, per_episode_reward = -454.74, episode_reward_trend_value=-0.004289970006762663
total_number_of_episodes = 1770, number_of_timesteps=1770000, per_episode_reward = -454.86, episode_reward_trend_value=-0.004733170700833019
total_number_of_episodes = 1780, number_of_timesteps=1780000, per_episode_reward = -454.67, episode_reward_trend_value=-0.0023772015224052564
total_number_of_episodes = 1790, number_of_timesteps=1790000, per_episode_reward = -454.63, episode_reward_trend_value=-0.0008063404592481523
total_number_of_episodes = 1800, number_of_timesteps=1800000, per_episode_reward = -454.63, episode_reward_trend_value=0.0003397693998699146
total_number_of_episodes = 1810, number_of_timesteps=1810000, per_episode_reward = -454.81, episode_reward_trend_value=0.0003107931880928542
total_number_of_episodes = 1820, number_of_timesteps=1820000, per_episode_reward = -454.96, episode_reward_trend_value=-0.0023172736672803593
total_number_of_episodes = 1830, number_of_timesteps=1830000, per_episode_reward = -454.86, episode_reward_trend_value=-0.0005791075670970258
total_number_of_episodes = 1840, number_of_timesteps=1840000, per_episode_reward = -455.18, episode_reward_trend_value=-0.0028309790931302812
total_number_of_episodes = 1850, number_of_timesteps=1850000, per_episode_reward = -455.06, episode_reward_trend_value=-0.0034841767598379645
total_number_of_episodes = 1860, number_of_timesteps=1860000, per_episode_reward = -454.89, episode_reward_trend_value=-0.000357258746860604
total_number_of_episodes = 1870, number_of_timesteps=1870000, per_episode_reward = -454.82, episode_reward_trend_value=-0.0017365551960968634
total_number_of_episodes = 1880, number_of_timesteps=1880000, per_episode_reward = -454.87, episode_reward_trend_value=-0.002574923867637027
total_number_of_episodes = 1890, number_of_timesteps=1890000, per_episode_reward = -454.83, episode_reward_trend_value=-0.0021836688923915263
total_number_of_episodes = 1900, number_of_timesteps=1900000, per_episode_reward = -454.67, episode_reward_trend_value=0.001485813773880788
total_number_of_episodes = 1910, number_of_timesteps=1910000, per_episode_reward = -454.63, episode_reward_trend_value=0.0036880327127303443
total_number_of_episodes = 1920, number_of_timesteps=1920000, per_episode_reward = -454.76, episode_reward_trend_value=0.0010644806384726103
total_number_of_episodes = 1930, number_of_timesteps=1930000, per_episode_reward = -454.76, episode_reward_trend_value=0.004629562475304915
total_number_of_episodes = 1940, number_of_timesteps=1940000, per_episode_reward = -454.78, episode_reward_trend_value=0.0030693551974372386
total_number_of_episodes = 1950, number_of_timesteps=1950000, per_episode_reward = -454.94, episode_reward_trend_value=-0.0005462893757257664
total_number_of_episodes = 1960, number_of_timesteps=1960000, per_episode_reward = -454.85, episode_reward_trend_value=-0.0003416637237547901
total_number_of_episodes = 1970, number_of_timesteps=1970000, per_episode_reward = -455.13, episode_reward_trend_value=-0.0029366824597957474
total_number_of_episodes = 1980, number_of_timesteps=1980000, per_episode_reward = -454.55, episode_reward_trend_value=0.0030923078506696635
total_number_of_episodes = 1990, number_of_timesteps=1990000, per_episode_reward = -454.51, episode_reward_trend_value=0.0018417511329460012
total_number_of_episodes = 2000, number_of_timesteps=2000000, per_episode_reward = -454.39, episode_reward_trend_value=0.0026310052275593738
total_number_of_episodes = 2010, number_of_timesteps=2010000, per_episode_reward = -454.35, episode_reward_trend_value=0.0046418327024993124
total_number_of_episodes = 2020, number_of_timesteps=2020000, per_episode_reward = -454.66, episode_reward_trend_value=0.0011618954185937328
total_number_of_episodes = 2030, number_of_timesteps=2030000, per_episode_reward = -454.43, episode_reward_trend_value=0.003856635249402037
total_number_of_episodes = 2040, number_of_timesteps=2040000, per_episode_reward = -454.38, episode_reward_trend_value=0.006159703255193941
total_number_of_episodes = 2050, number_of_timesteps=2050000, per_episode_reward = -454.15, episode_reward_trend_value=0.007788001558385026
total_number_of_episodes = 2060, number_of_timesteps=2060000, per_episode_reward = -454.04, episode_reward_trend_value=0.012070080721633127
total_number_of_episodes = 2070, number_of_timesteps=2070000, per_episode_reward = -454.08, episode_reward_trend_value=0.005225370323777017
total_number_of_episodes = 2080, number_of_timesteps=2080000, per_episode_reward = -454.04, episode_reward_trend_value=0.005167174718282771
total_number_of_episodes = 2090, number_of_timesteps=2090000, per_episode_reward = -454.02, episode_reward_trend_value=0.004047896997599309
total_number_of_episodes = 2100, number_of_timesteps=2100000, per_episode_reward = -453.93, episode_reward_trend_value=0.004606391182835523
total_number_of_episodes = 2110, number_of_timesteps=2110000, per_episode_reward = -454.08, episode_reward_trend_value=0.006416865605265482
total_number_of_episodes = 2120, number_of_timesteps=2120000, per_episode_reward = -454.26, episode_reward_trend_value=0.0018842078373362864
total_number_of_episodes = 2130, number_of_timesteps=2130000, per_episode_reward = -454.33, episode_reward_trend_value=0.0005524724529594651
total_number_of_episodes = 2140, number_of_timesteps=2140000, per_episode_reward = -454.40, episode_reward_trend_value=-0.0027294771609749405
total_number_of_episodes = 2150, number_of_timesteps=2150000, per_episode_reward = -454.29, episode_reward_trend_value=-0.002734104454032149
total_number_of_episodes = 2160, number_of_timesteps=2160000, per_episode_reward = -454.40, episode_reward_trend_value=-0.003579538614856245
total_number_of_episodes = 2170, number_of_timesteps=2170000, per_episode_reward = -454.50, episode_reward_trend_value=-0.005110398278105145
total_number_of_episodes = 2180, number_of_timesteps=2180000, per_episode_reward = -454.24, episode_reward_trend_value=-0.0023553362044114894
total_number_of_episodes = 2190, number_of_timesteps=2190000, per_episode_reward = -454.05, episode_reward_trend_value=-0.001360204040296114
total_number_of_episodes = 2200, number_of_timesteps=2200000, per_episode_reward = -453.92, episode_reward_trend_value=0.001854711459817003
total_number_of_episodes = 2210, number_of_timesteps=2210000, per_episode_reward = -454.04, episode_reward_trend_value=0.0024695775525268955
total_number_of_episodes = 2220, number_of_timesteps=2220000, per_episode_reward = -454.20, episode_reward_trend_value=0.0014602226666707136
total_number_of_episodes = 2230, number_of_timesteps=2230000, per_episode_reward = -454.00, episode_reward_trend_value=0.004450582973698323
total_number_of_episodes = 2240, number_of_timesteps=2240000, per_episode_reward = -453.77, episode_reward_trend_value=0.005773934113031171
total_number_of_episodes = 2250, number_of_timesteps=2250000, per_episode_reward = -454.00, episode_reward_trend_value=0.004450582973698323
total_number_of_episodes = 2260, number_of_timesteps=2260000, per_episode_reward = -453.76, episode_reward_trend_value=0.00818568366125621
total_number_of_episodes = 2270, number_of_timesteps=2270000, per_episode_reward = -453.59, episode_reward_trend_value=0.0072051751235903795
total_number_of_episodes = 2280, number_of_timesteps=2280000, per_episode_reward = -453.76, episode_reward_trend_value=0.0032775311672802823
total_number_of_episodes = 2290, number_of_timesteps=2290000, per_episode_reward = -453.99, episode_reward_trend_value=-0.0008505501938575182
total_number_of_episodes = 2300, number_of_timesteps=2300000, per_episode_reward = -453.88, episode_reward_trend_value=0.001728837377738854
total_number_of_episodes = 2310, number_of_timesteps=2310000, per_episode_reward = -453.63, episode_reward_trend_value=0.006302852330176417
